epoch,train_acc,train_loss,validation_acc,validation_loss,test_acc,test_loss
1,0.5194746376811594,1.0634416013524153,0.5981012658227848,0.8518048723538717,0.5757097791798107,0.7212081363326625
2,0.5375905797101449,0.7795931247697361,0.6012658227848101,1.0338294638527765,0.637223974763407,0.7014884917359603
3,0.5706521739130435,0.7476280236589736,0.6708860759493671,0.7188267707824707,0.610410094637224,0.6853383669727727
4,0.6331521739130435,0.6563877450383228,0.7151898734177216,0.6555552879969279,0.7413249211356467,0.536647556643737
5,0.6594202898550725,0.6331933270330015,0.7056962025316456,0.6238969564437866,0.7649842271293376,0.49514582910035787
6,0.6893115942028986,0.5985883059708969,0.6772151898734177,0.601880755689409,0.6482649842271293,0.610441729426384
7,0.7146739130434783,0.5659290625565294,0.7563291139240507,0.538805173503028,0.7886435331230284,0.451231454155947
8,0.7164855072463768,0.5513965958270474,0.7753164556962026,0.5150447719626956,0.8138801261829653,0.4129883199930191
9,0.7364130434782609,0.5325358021950376,0.8037974683544303,0.49055105778906083,0.7949526813880127,0.42282043946416753
10,0.7536231884057971,0.5018648496572522,0.8006329113924051,0.45325185192955864,0.8706624605678234,0.3330349835910295
11,0.7549818840579711,0.4900859810303951,0.8291139240506329,0.4274308681488037,0.9069400630914827,0.28982058461559446
12,0.7857789855072463,0.47172277388365375,0.8164556962025317,0.426536414358351,0.831230283911672,0.37301969175276
13,0.7993659420289855,0.44224144971888996,0.8259493670886076,0.39659518996874493,0.9400630914826499,0.28013907765087326
14,0.8102355072463768,0.43597145875295,0.8417721518987342,0.3959750731786092,0.8990536277602523,0.2778266252655732
15,0.8079710144927537,0.42845561625300976,0.8386075949367089,0.3843332926432292,0.8690851735015773,0.2916771118578158
16,0.8079710144927537,0.4091657259757968,0.8575949367088608,0.35162193907631767,0.9463722397476341,0.20171927322486513
17,0.8201992753623188,0.4056152632271034,0.8607594936708861,0.35270066724883187,0.9384858044164038,0.2159907949206076
18,0.8165760869565217,0.4242992211079252,0.8322784810126582,0.3505037956767612,0.9274447949526814,0.2476709010569673
19,0.8310688405797102,0.38338285555010254,0.8829113924050633,0.34337472087807125,0.9258675078864353,0.24150475707689398
20,0.8346920289855072,0.37583741696848383,0.8575949367088608,0.34169045090675354,0.916403785488959,0.24034280849522666
21,0.8523550724637681,0.3440803762363351,0.8829113924050633,0.3155335585276286,0.9337539432176656,0.20560066265936353
22,0.8460144927536232,0.35898144154444983,0.8670886075949367,0.3108948949310515,0.9353312302839116,0.21035543927236608
23,0.8446557971014492,0.3434513405613277,0.8607594936708861,0.31449487308661145,0.9242902208201893,0.20676270376363964
24,0.8455615942028986,0.35407826174860413,0.8892405063291139,0.28907821741369033,0.9321766561514195,0.1846048381473673
25,0.8559782608695652,0.3444093675285146,0.8892405063291139,0.2716550694571601,0.9400630914826499,0.16239311747056873
26,0.8645833333333334,0.3359833121083785,0.810126582278481,0.38315776983896893,0.9321766561514195,0.19896745407267621
27,0.842391304347826,0.34654699352340423,0.8924050632911392,0.28140439755386776,0.9321766561514195,0.18523637656318515
28,0.8564311594202898,0.3279318476932636,0.9113924050632911,0.24093656241893768,0.9542586750788643,0.14748570656305865
29,0.8673007246376812,0.3071807709293089,0.9018987341772152,0.2456476390361786,0.9542586750788643,0.1460093469113896
30,0.8654891304347826,0.3131452628235886,0.8924050632911392,0.2504747551348474,0.9511041009463722,0.1535350398503636
31,0.875,0.29360379246265994,0.8734177215189873,0.2654044669535425,0.9542586750788643,0.1243967336700543
32,0.8840579710144928,0.2859773058174313,0.9018987341772152,0.2865459844470024,0.9479495268138801,0.1566663297003527
33,0.8854166666666666,0.2914634447382844,0.8892405063291139,0.24878380199273428,0.9652996845425867,0.11958650416253429
34,0.8826992753623188,0.2885305603993112,0.8987341772151899,0.2588922563526366,0.9337539432176656,0.18340288992284945
35,0.8759057971014492,0.29631468891233637,0.9240506329113924,0.21505798689193195,0.9574132492113565,0.1249262017050856
36,0.8894927536231884,0.2672741284620935,0.8829113924050633,0.24229725864198473,0.9700315457413249,0.11720752289616748
37,0.8817934782608695,0.2997356171625248,0.9018987341772152,0.2630271017551422,0.9400630914826499,0.17977837748874567
38,0.894927536231884,0.267616624093574,0.9082278481012658,0.25321606381071937,0.9637223974763407,0.12877626050459712
39,0.8926630434782609,0.2753132280448209,0.8829113924050633,0.25457347681125003,0.9621451104100947,0.1173237495516476
40,0.8740942028985508,0.2760596025897109,0.8639240506329114,0.28560466236538357,0.944794952681388,0.1474070808801212
41,0.8994565217391305,0.25221618059752643,0.9208860759493671,0.2154202808936437,0.9684542586750788,0.12476598574338775
42,0.8958333333333334,0.2593579723135285,0.9272151898734177,0.2054384019639757,0.9652996845425867,0.12445264223864988
43,0.8994565217391305,0.257587979345218,0.9113924050632911,0.24999099804295433,0.9416403785488959,0.1578733159265922
44,0.8836050724637681,0.28512802115385083,0.9335443037974683,0.22571833597289193,0.9479495268138801,0.16282810861440866
45,0.9085144927536232,0.24394080550342367,0.9177215189873418,0.21159275703959995,0.9668769716088328,0.11609490561348043
46,0.9044384057971014,0.2516193334823069,0.9272151898734177,0.19671417648593584,0.9684542586750788,0.10738052579108626
47,0.9121376811594203,0.23690943868047948,0.930379746835443,0.19590097003512913,0.9684542586750788,0.11430480233148525
48,0.9057971014492754,0.2203869533765575,0.9335443037974683,0.180277475880252,0.9779179810725552,0.07305849464855303
49,0.9189311594202898,0.21554983812181847,0.939873417721519,0.2041498919328054,0.9779179810725552,0.09415388749422211
50,0.9094202898550725,0.23110396145046622,0.9462025316455697,0.19223624302281273,0.9526813880126183,0.15685973409256948
